observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
29579,s27-1-15,61402.86370949074,90,165.0570833333333,4.194444444444445,0.9647544455348376,22.150820945261593,18.81907695454853,r
29580,s27-1-16,61402.86494791666,90,167.71106249999997,4.194444444444445,0.951966229669594,22.16521759436338,18.81907695454853,r
29581,s27-1-17,61402.86618634259,90,167.71106249999997,1.596666666666667,0.9452789580743607,22.17282265849859,18.81907695454853,r
29582,s27-1-18,61402.86742476852,90,167.71106249999997,-1.001111111111111,1.1863101876845354,21.927638888746618,18.81907695454853,r
29583,s27-1-19,61402.868663194444,90,170.36504583333328,-1.001111111111111,1.055078027382601,22.239284401115075,19.194844482755663,r
29584,s27-1-20,61402.86990162037,90,170.36504583333328,1.596666666666667,1.2397116231011214,22.065294893371323,19.194844482755663,r
29585,s27-1-21,61402.87114004629,90,170.36504583333328,4.194444444444445,1.1062522283197336,22.18820234121975,19.194844482755663,r
29586,s27-1-22,61402.87237847222,90,173.019025,4.194444444444445,1.0456133360312099,22.24900116391707,19.194844482755663,r
29587,s27-1-23,61402.87361689815,90,173.019025,1.596666666666667,1.3658231352407555,21.960691199889467,19.194844482755663,r
29588,s27-1-24,61402.87485532407,90,173.019025,-1.001111111111111,1.1728313484032125,22.125148973456344,19.194844482755663,r
29589,s27-1-25,61402.87609375,90,175.6730083333333,-1.001111111111111,1.30611810590694,22.00896025509017,19.194844482755663,r
29590,s27-1-26,61402.87733217592,90,175.6730083333333,1.596666666666667,1.059940056329392,22.234326487456258,19.194844482755663,r
29591,s27-1-27,61402.878570601846,90,175.6730083333333,4.194444444444445,0.9080969229808069,22.40096910358105,19.194844482755663,r
29592,s27-1-01,61402.88204282407,90,154.44115416666665,-1.001111111111111,1.0871980224539504,22.53569695486055,19.460922403705823,g
29593,s27-1-02,61402.88328125,90,154.44115416666665,1.596666666666667,0.976272353318498,22.651821877138136,19.460922403705823,g
29594,s27-1-03,61402.88451967592,90,154.44115416666665,4.194444444444445,0.9822096537528439,22.64528147043576,19.460922403705823,g
29595,s27-1-04,61402.88575810185,90,157.0951375,4.194444444444445,0.896598192460416,22.7436282872768,19.460922403705823,g
29596,s27-2-01,61402.88579861111,90,196.44115416666665,-1.001111111111111,1.202551178301312,22.33371272672382,19.675474364332672,r
29597,s27-1-05,61402.88699652778,90,157.0951375,1.596666666666667,1.2958928385149733,22.34606528741123,19.460922403705823,g
29598,s27-2-02,61402.887037037035,90,196.44115416666665,1.596666666666667,1.2483931276805038,22.293389462086644,19.675474364332672,r
29599,s27-1-06,61402.8882349537,90,157.0951375,-1.001111111111111,0.9753113800848842,22.652884179477,19.460922403705823,g
29600,s27-2-03,61402.88827546296,90,196.44115416666665,4.194444444444445,1.0436644896693625,22.48634122440313,19.675474364332672,r
29601,s27-1-07,61402.889473379626,90,159.74911666666665,-1.001111111111111,1.0411750236942106,22.582379426795963,19.460922403705823,g
29602,s27-2-04,61402.889513888884,90,199.0951375,4.194444444444445,1.2602426788675334,22.28320549564083,19.675474364332672,r
29603,s27-1-08,61402.89071180555,90,159.74911666666665,1.596666666666667,1.0620156134850363,22.560991236431143,19.460922403705823,g
29604,s27-2-05,61402.890752314815,90,199.0951375,1.596666666666667,1.288414365074324,22.25937037812804,19.675474364332672,r
29605,s27-1-09,61402.89195023148,90,159.74911666666665,4.194444444444445,1.1731963661013916,22.453505829894755,19.460922403705823,g
