observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
27789,a27-1-17,61395.544375,90,356.01902499999994,2.4966666666666666,1.2045115095960095,22.636188278031707,19.88994347281727,g
27790,a36-2-18,61395.54561342592,90,28.7110625,-0.1011111111111111,1.1918377836756249,22.401485985194427,19.390002011299483,g
27791,a27-1-18,61395.54561342592,90,356.01902499999994,-0.1011111111111111,1.1569192416416818,22.67967223752114,19.88994347281727,g
27792,a36-2-19,61395.54685185185,90,31.365045833333333,-0.1011111111111111,0.9901182740028656,22.526215927423717,19.23708748978293,g
27793,a27-1-19,61395.54685185185,90,358.67300833333326,-0.1011111111111111,1.3789865398497414,22.441384937203612,19.79064015233403,g
27794,a36-2-20,61395.54809027778,90,31.365045833333333,2.4966666666666666,0.996789155126813,22.51896734982475,19.23708748978293,g
27795,a27-1-20,61395.54809027778,90,358.67300833333326,2.4966666666666666,1.0650999877651146,22.720099609199053,19.79064015233403,g
27796,a27-1-21,61395.5493287037,90,358.67300833333326,5.094444444444444,1.2647902614748687,22.534714991729142,19.79064015233403,g
27797,a36-2-21,61395.5493287037,90,31.365045833333333,5.094444444444444,0.9606336829248364,22.558846502015,19.23708748978293,g
27798,a27-1-22,61395.55056712963,90,1.3269874999999998,5.094444444444444,1.0548223064101747,22.730554121313613,19.79064015233403,g
27799,a36-2-22,61395.55056712963,90,34.019025,5.094444444444444,1.329574636051077,22.207753837987365,19.23708748978293,g
27800,a36-2-23,61395.55180555555,90,34.019025,2.4966666666666666,1.2666271324439538,22.260181452964133,19.23708748978293,g
27801,a27-1-23,61395.55180555555,90,1.3269874999999998,2.4966666666666666,1.325135075266774,22.48439890242301,19.79064015233403,g
27802,a27-1-24,61395.55304398148,90,1.3269874999999998,-0.1011111111111111,1.3190662030080196,22.48935502118539,19.79064015233403,g
27803,a36-2-24,61395.55304398148,90,34.019025,-0.1011111111111111,1.0329481623286858,22.480497473880558,19.23708748978293,g
27804,a27-1-25,61395.55428240741,90,3.980970833333333,-0.1011111111111111,1.3884114830202414,22.43402888906632,19.79064015233403,g
27805,a36-2-25,61395.55428240741,90,36.67300833333333,-0.1011111111111111,1.313254768182012,22.221105107576857,19.23708748978293,g
27806,a36-2-26,61395.55552083333,90,36.67300833333333,2.4966666666666666,1.1427452409030223,22.37139813183833,19.23708748978293,g
27807,a27-1-26,61395.55552083333,90,3.980970833333333,2.4966666666666666,1.0444629732358754,22.741194550433896,19.79064015233403,g
27808,a27-1-27,61395.556759259256,90,3.980970833333333,5.094444444444444,1.1820974237329394,22.607685682351587,19.79064015233403,g
27809,a36-2-27,61395.556759259256,90,36.67300833333333,5.094444444444444,1.061114042247961,22.451448286937165,19.23708748978293,g
27810,a36-2-01,61395.56023148148,90,15.441154166666664,-0.1011111111111111,1.2734262166746582,21.95613774180719,20.221316976704617,u
27811,a27-1-01,61395.56023148148,90,342.7491166666666,-0.1011111111111111,1.5331502216461077,21.80032882523312,20.31351765981531,u
27812,a27-1-02,61395.56146990741,90,342.7491166666666,2.4966666666666666,1.4430920453918932,21.865388926593557,20.31351765981531,u
27813,a36-2-02,61395.56146990741,90,15.441154166666664,2.4966666666666666,0.9582802301130448,22.26077996457225,20.221316976704617,u
27814,a27-1-03,61395.56270833333,90,342.7491166666666,5.094444444444444,1.3940190315883731,21.902552772648527,20.31351765981531,u
27815,a36-2-03,61395.56270833333,90,15.441154166666664,5.094444444444444,1.292739911022468,21.93997880470734,20.221316976704617,u
27816,a27-1-04,61395.563946759255,90,345.40309999999994,5.094444444444444,1.0872796448643138,22.169057295349027,20.31351765981531,u
27817,a36-2-04,61395.563946759255,90,18.0951375,5.094444444444444,1.2208704375587738,22.00136668804388,20.221316976704617,u
27818,a36-2-05,61395.56518518518,90,18.0951375,2.4966666666666666,1.1247081574967666,22.089339785552863,20.221316976704617,u
27819,a27-1-05,61395.56518518518,90,345.40309999999994,2.4966666666666666,1.1006479374068168,22.15597230841667,20.31351765981531,u
27820,a27-1-06,61395.56642361111,90,345.40309999999994,-0.1011111111111111,1.2225047272846212,22.043450037613574,20.31351765981531,u
27821,a36-2-06,61395.56642361111,90,18.0951375,-0.1011111111111111,1.059464328470298,22.15336257208502,20.221316976704617,u
27822,a27-1-07,61395.56766203704,90,348.05708333333325,-0.1011111111111111,1.1179119150898542,22.139304170397477,20.31351765981531,u
27823,a36-2-07,61395.56766203704,90,20.749116666666666,-0.1011111111111111,1.1273476362189685,22.0868274861025,20.221316976704617,u
27824,a36-2-08,61395.56890046296,90,20.749116666666666,2.4966666666666666,1.3872127970265238,21.86422739065189,20.221316976704617,u
27825,a27-1-08,61395.56890046296,90,348.05708333333325,2.4966666666666666,0.9647407143599054,22.29697093029652,20.31351765981531,u
