event_id,mass1,mass2,mej_dyn,mej_wind,mej_total,cos_theta,redshift
114,1.2767328930364013,1.2740400089892934,0.0020919705274635163,0.060507444821416886,0.0625994153488804,0.808120379564417,0.1856046865827131
115,1.351426950206536,1.3485669917079355,0.0023777406087100023,0.05098517389929081,0.05336291450800081,0.6334037565104235,0.17047211240098356
116,1.2865339247704226,1.225561052103551,0.0020558047945745186,0.06389764936799186,0.06595345416256637,0.8714605901877177,0.19057413947548835
117,1.552779548296425,1.3870900419012318,0.003261905597314998,0.056644365342333594,0.05990627093964859,0.8036720768991145,0.18524658539160804
118,1.3941824846429272,1.3695331725085926,0.002519553691565084,0.027268530818636415,0.0297880845102015,0.18657005888603584,0.11178348738721637
119,1.5776387369689575,1.2696474409870984,0.003996191637175051,0.06336833121493965,0.0673645228521147,0.8925589984899778,0.19217869166477877
120,1.3373540111211508,1.2319752272811133,0.00222950277720942,0.04624502351919186,0.04847452629640128,0.5393422419156507,0.1611996031804968
121,1.5490406118947686,1.3140110854342741,0.0034224593384249258,0.05871773141551105,0.062140190753935974,0.8074401551640625,0.18555000749458742
122,1.7130800167748816,1.3972144698603395,0.004978426894246218,0.04774825714864262,0.05272668404288884,0.8960912999234932,0.1924449839271641
123,1.3459095504884637,1.2147721691414732,0.0022749932074429212,0.03452114994663992,0.03679614315408284,0.3180034749718639,0.13426527485402193
124,1.3219713117265055,1.318053082628667,0.0022585922869938404,0.023452021144840386,0.02571061343183423,0.11005192452767676,0.09333859255875102
125,1.3468184439711792,1.3242056572240553,0.002324229532398407,0.029648630688625117,0.031972860221023525,0.22793516254194168,0.11973063691998455
126,1.350609385827973,1.3382717298633677,0.0023567243075548836,0.04013207286454289,0.042488797172097775,0.4271077886262563,0.14866958249142037
127,1.590988987187053,1.1942075981330875,0.0050855739028314965,0.06022247957045368,0.06530805347328518,0.8180147659224931,0.18639677680510283
128,1.5275420930725156,1.346114490817343,0.003151690952941838,0.06126191447450371,0.06441360542744555,0.8607305832563434,0.18974870995441717
129,1.3963484553730665,1.2909547079736854,0.002463717826209263,0.017960079317390347,0.020423797143599612,0.006952130531190703,0.03690378431371225
130,1.3219741236267066,1.2067176083062627,0.0021772454684540607,0.04475799857003778,0.04693524403849184,0.5107473025775657,0.1581785225259911
131,1.337827426718223,1.221761264480208,0.00223487632417429,0.03979054074606872,0.04202541707024301,0.417411003148779,0.14749244983720472
132,1.4125627244508263,1.3388903008340467,0.0025424700618119004,0.029171270584603903,0.0317137406464158,0.22210781047073025,0.1186708088606908
133,1.345187786179994,1.2070540077044674,0.0022780228294438853,0.024023101010120337,0.026301123839564223,0.1198653673336828,0.09609613005819723
134,1.3821401242760905,1.346046965806633,0.0024499659172254953,0.03531320321834159,0.037763169135567085,0.33761517140362796,0.13706556342427645
135,1.350234142887442,1.287992242676489,0.002291826240744734,0.06750880718106324,0.06980063342180798,0.9429097039125192,0.19591375417170978
136,1.346249169621959,1.2242800793448259,0.0022682378691612796,0.03479053492064651,0.037058772789807785,0.32320293202075523,0.1350182455159579
137,1.386394974330853,1.3337395258356712,0.0024481899692839443,0.044877482400832266,0.04732567237011621,0.5187906217433661,0.15903896923946925
